Hardware,Description,Company,Price,Availability_HowToBuy,Constraints,Use-cases,Customer Segment,Related Softwares,Related Products,DocumentationLink,Popularity,ReleaseDate,Version,CompatibilityWithOtherDevices,OperatingSystem,WeightDimension,Resolution,FoV,PossibleInteractions:,Limitations,Comments
Hololens2,"Microsoft HoloLens 2 is a pair of untethered mixed reality smart glasses with powerful computing capability. Wearing the headset, you are able to use hands and fingers to interact with virtual objects or speak to give your commands. The headset can scan and understand your environment and objects within so that virtual objects can be interacted with the real world objects. Spatial remote collaboration allows you to meet up with people’s digital avatars and collaboration in real time. Currently, hololens 2 is mainly targeted to enterprises for training purposes and is hard to get.",Microsoft,"$3,500",Have to contact sales team,Difficult to order,,Enterprise and Developers,,Hololens 1,https://docs.microsoft.com/en-us/hololens/,50000 sold,"February 24, 2019",2,,Windows,566 grams,2K per eye,52 degrees,"10 fingers Hand tracking. Eye tracking, spatial tracking","FoV still isn’t big enough, hand tracking has to be in view",
MagicLeap1,,Magic Leap,$2295 for consumer,Online,tethered,,Enterprise and consumer,,,https://developer.magicleap.com/home,6000 sold,"August 25, 2017",1,,Lumin OS,316 grams,1440 x 1600,50 degrees,"eye tracking, hand tracking 8 gestures, spatial tracking, 6dof controller","seperate power unit, hand tracking has to be in view","slightly worse world tracking than hololens, behind in terms of content compared to hololens 2"
nrealLight,,nreal,$499,available for sale in early 2020,tethered,Everyday use and wear,consumer,nrsdk,,https://developer.nreal.ai/develop/discover/introduction-nrsdk,,early 2020,,,Nebula: Android based OS,88g,1080p,52 degrees,"spatial tracking, 3dof controller",tethered,Users could add on lenses to fit to one’s eyesight; The glass is lightweight and quite fashionable.
Epson Moverio BT-300,"Experience a new way of seeing the world with the revolutionary Moverio BT-300 smart glasses from Epson®. These highly transparent glasses redefine augmented reality (AR) with a groundbreaking Si-OLED display. Superior transparency, plus a high-resolution camera, ensures seamless integration of digital content with the outside world. Ultra light and comfortable to wear, even over prescription glasses, the BT-300 features a binocular display, making it ideal for side-by-side 3D content. With wireless and Bluetooth® Smart (BLE) connectivity, it supports a wide range of accessories. Powered by an Intel® Atom chipset, running Moverio OS, the BT-300 is the ideal platform for developing AR apps.",Epson,$699,online,Need to Connect to a standalone computing unit which also functions as the controller.,"Education, fitness training, sports, drone, watch videos","Consumers, developers",Moverio SDK,DJI Drones + phones,,popular in DJI drone industry,2016,"300, previously BT-200",“Dual-band wireless connectivity and Bluetooth Smart (BLE) enable integration with a wide range of accessories”,Moverio OS,"Headset 69g, Controller 129g",1280 x 720,23,controller,,"DJI Drones: See camera view from the drones, overall flight status, flight mode, compass, batteries, number of satellites. This information is usually shown on phones when using phones to operate. Now on glasses; The glass is very narrow so the users’ peripheral vision is very open; Clear lenses with polar filter addons; Able to be worn with glasses on."
ThirdEye Gen X2,"Lightweight mixed reality glasses. At 9.8 ounces, the X2 Mixed Reality Glasses fit a wide field of view, contain powerful sensors, and come with the VisionEye SLAM SDK into an exceptionally minimalistic form factor.",ThirdEye,"$1,950",In production,,,professionals,VisionEye SLAM SDK,X1,https://thirdeyegen.com/documentation,,2020,"X2, previous X1","Android, Unity",Android OS,278g,1280 x 720,42 degrees,"6dof, gestures, voice commands",,"3D tracking, occlusion, indoor/outdoor use"
Vuzix M400,"The Vuzix M400 is a pair of professional augmented reality smart glasses made by Vuzix, a manufacturer based in the US. This product is a follow-up to the M300.
",Vuzix,"$1,799",online,,,enterprise,,,,,2020,"M400, previous M300, M100","Android, iOS",Android 8.1 OS,85g,,20 degrees,"multi finger tracking, 3dof, motion tracking, touchpad",,
Vuzix Blade,,,,,,,,,,,,,,,,,,,,,
Optinvent ORA-2,"The ORA-2 is a true “wearable tablet” which allows a multitude of applications. It is Comfortable, ergonomic and mobile: The ORA-2 enables hands free mobile computing and AR applications such as remote maintenance, logistics, remote training, situation awareness, and much more. It can run applications as a standalone wearable computer and can connect to the network via WiFi and to any smart device via Bluetooth. ",Optinvent,$910,online,,,developers,Android SDK,ORA-X,,,2014,ORA-2,Android,Android AOSP 4.4.2,90g,42 pixels/deg,,trackpad,,can be worn over eye glasses
DreamWorld DreamGlass,,DreamWorld,$799,$799,known issues with Android 9.0 camera access,personal virtual screen,Consumer,Unity SDK,,https://www.dreamworldvision.com/developers,,2018,1,"Unity, Android, PC Samsung: S8, S8 plus, Note 8, S9, S9 plus,Note 9,S10, S10 plus Huawei: Mate 10, Mate 10 Pro, P20, P20 pro, Mate 20, Mate 20 Pro,P30, P30 Pro",Microsoft Windows,240g,"1280 x 880 per eye, 2560 x 800 total",90 degrees,"3dof (6dof with addons), limited hand gestures",advertised for screen mirror,currently developing iOS compatibility
Project North Star,Modular AR headset with opensource code. Affordable,Leap Motion,$500 for fully assembled,"opensource, build your own or buy fully assembled https://www.smart-prototyping.com/Project-North-Star-Kit",,anything,Developers,LeapC API,Leap Motion,https://developer.leapmotion.com/documentation/,,,,"unity, unreal",,,1600 x 1440 per eye,100 degrees,Hand tracking 180 degrees,,I think this would be good to check out
Rokid Project Aurora,"AR glasses Contains built in camera, headphones, microphone",Rokid,<$500,through manufacture,,,professional and enterprise,,,,,2019,,Android,,120g,1280 x 960,33 degrees,"gesture recognition, voice commands, touchpad",,capable of face recognition and object recognition using SLAM Corrective lenses available
